Date,Mean Return,Index Return,Strategy Wealth,Index Wealth
2014-01-09,-0.012133690483070482,-0.020792280345353045,0.9878663095169296,0.9792077196546469
2014-01-16,-0.01098999497155535,0.014781697665010427,0.9770096637427695,0.9936820721178261
2014-01-23,0.020464234636987027,0.00247372940262509,0.9970034187442053,0.9961401726764855
2014-01-30,-0.020493009343123668,-0.046578974202100464,0.9765718183687541,0.9497409852717116
2014-02-06,0.026553928750062617,0.0013368697995764795,1.0025036368530371,0.9510106653123415
2014-02-13,0.042106067528024746,-0.006696786183472793,1.0447151226834615,0.9446419502285425
2014-02-20,0.03772183238321617,0.014268817204301154,1.0841236914295382,0.958120873539868
2014-02-28,0.039571285388177474,0.02823157738505404,1.127023859419181,0.9851701371254444
2014-03-07,-0.00757523855783195,0.038014228270955845,1.1184863848237123,1.02262061960386
2014-03-14,-0.019908406823627666,-0.004430008840152206,1.0962191028479533,1.0180904012188932
2014-03-21,0.005429685983853122,0.0038910117628278675,1.1021712283459189,1.022051802945658
2014-03-28,-0.010038578076049904,0.03400880531896909,1.0911069964169926,1.0568105637379384
2014-04-01,0.01836765709539702,0.005901406149380685,1.1111480755815686,1.063047232097512
2014-04-09,0.03806554736106657,0.010177319117395554,1.1534445352777767,1.0738662030154322
2014-04-16,-0.013472416075176628,-0.015972908141667776,1.1379048505788758,1.0567134367982252
2014-04-23,0.018534939381131658,0.02525643599376704,1.1589958480058509,1.0834022520784732
2014-04-30,-0.002279556387332269,-0.019916269615567545,1.1563538516176375,1.0618249207239652
2014-05-07,-0.010945014695724679,-0.004338188425789251,1.1436975417182245,1.057218524142666
2014-05-14,0.02866667439103357,0.06702848352236353,1.1764835467484862,1.1280822785677
2014-05-21,0.03985323585085898,0.03737731929221287,1.2233702230117087,1.170246970081612
2014-05-28,0.03675852985131876,0.011903734267907362,1.268339513873499,1.1841772790412872
2014-06-04,0.01014328954289744,0.019040307101727508,1.2812046488014157,1.2067243780971215
2014-06-11,0.025614569847698034,0.030086139782515852,1.314022154767335,1.243030056415521
2014-06-18,0.009302221404222683,-0.011003567626431288,1.3262454797810344,1.229352291128066
2014-06-25,0.040229121327701144,0.004979580433371286,1.3795991700974608,1.2354739497426874
2014-06-30,0.045074663859414714,0.009656345306329393,1.4417841389503312,1.2474041128183775
2014-07-09,-0.01779683093952974,-0.021810547907886148,1.4161249503781366,1.220197545655258
2014-07-16,0.02666324461768327,0.007192005242463898,1.4538834363392734,1.2289732128004522
2014-07-23,0.025457863199963543,0.018412791359651383,1.4908962019702916,1.2516020401543475
2014-07-30,-0.02128236652676714,-0.004551915797543563,1.4591664025465947,1.2459048530555312
2014-08-06,0.02620896567338825,-0.009466354330455989,1.4974096447026997,1.234110676254473
2014-08-13,-0.015340330333163541,-0.001036672281974949,1.4744388861088953,1.2328313079235105
2014-08-20,0.03082443171079958,0.0250437799974056,1.5198876268655062,1.2637060639730608
2014-08-27,0.00048479819617863946,0.005299249404823108,1.5206244656454049,1.2704027575804415
2014-09-03,0.030189731016753513,0.025577681093286578,1.5665317092407343,1.3028967141738659
2014-09-10,0.02535780254811562,0.003459809441981095,1.6062555110090229,1.3074044885274907
2014-09-17,-0.022236009891727183,-0.014945911853522419,1.570538797577585,1.2878641362850591
2014-09-24,-0.014321402337821542,-0.0008149010477299185,1.548046479570318,1.2868146544510666
2014-09-29,0.015535802442173334,-0.004497262029593354,1.5720966238482241,1.2810275117664796
2014-10-08,-0.014460339570250077,-0.015054886795983314,1.5493635728301351,1.2617417875942951
2014-10-16,-0.040181647538127675,-0.014461779582531795,1.4871075918382604,1.2434947559720368
2014-10-23,0.033300018799214896,0.03822305752333218,1.5366283026029297,1.291024927559518
2014-10-30,0.0313768389073237,0.016562874714733326,1.584842841314136,1.312408011688284
2014-11-07,0.040645890057108267,0.022928937795838794,1.6492601891999854,1.3425001333510451
2014-11-14,0.0326615569031625,0.00964149413401382,1.7031275947176614,1.3554438405116618
2014-11-21,-0.028266130258548645,0.009070478576428571,1.6549867682784434,1.367738364828575
2014-11-28,0.015489833316728461,0.010332539833218933,1.6806222374604673,1.3818705759645882
2014-12-05,0.007930836997428714,0.002818713365760583,1.6939509784800202,1.3857656730268109
2014-12-12,-0.016215940345213974,-0.03704477805565365,1.6664819704652714,1.334430291232389
2014-12-19,-0.0057182601232618705,-0.0015567580513581286,1.656952593067425,1.332352906132537
2014-12-26,0.00016682797001051303,0.0006971357465724977,1.65722901910493,1.333281736970452
2014-12-29,0.0067980458166279735,0.006561994366872443,1.6684949379054506,1.342030724217906
2015-01-07,0.00997462302236039,-0.012710794146051583,1.6851375459257738,1.3249724479446956
2015-01-14,0.03434905875817778,0.021399709553871712,1.7430204345063898,1.3533264734975943
2015-01-21,0.03067534885410626,0.04603552301039475,1.796488194394709,1.4156275655088693
2015-01-28,-0.017477221530337143,0.01999408417375624,1.7650905722446373,1.4439317422123432
2015-02-04,-0.003269455678342695,-0.018338615351685784,1.7593196868504228,1.4174520333978216
2015-02-11,-0.019120510113310337,-0.010824687884649175,1.7256805969854534,1.4021085575448289
2015-02-18,0.037762107033877355,0.027980033561819162,1.7908459323951036,1.441339602042247
2015-02-25,-0.021592562577219754,-0.01166900692393362,1.7521769795337028,1.4245206002462765
2015-03-04,0.03192430015802473,0.018980431678844428,1.8081140033583178,1.4515586161743574
2015-03-11,-0.010211428493607514,-0.021044534190499713,1.789650576504734,1.4210112412467617
2015-03-18,0.009222663361188052,0.0014663373838856983,1.8061559213059932,1.4230949231527237
