,Ticker,Close,Quantity
1136,PGHH,10269.3,5.0
1302,SANOFI,8495.05,6.0
276,COLPAL,1431.95,35.0
915,MARICO,356.7,140.0
301,DABUR,507.15,99.0
1019,NESTLEIND,15909.45,3.0
970,MRF,62250.35,1.0
1558,TORNTPOWER,322.2,155.0
1627,VGUARD,164.0,305.0
1141,PIDILITIND,1475.5,34.0
1132,PFIZER,5062.35,10.0
588,HINDUNILVR,2179.35,23.0
1163,POWERGRID,165.1,303.0
1583,UBL,956.5,52.0
111,ASIANPAINT,2099.9,24.0
352,DRREDDY,5022.0,10.0
439,FORTIS,128.3,390.0
1376,SIEMENS,1274.15,39.0
3052,IOC,77.7,644.0
550,HAVELLS,723.85,69.0
