,Ticker,Close,Quantity
2552,NAVINFLUOR,2115.4,24.0
615,IBVENTURES,215.95,232.0
693,IPCALAB,2155.65,23.0
735,JINDALSTEL,208.2,240.0
949,MINDTREE,1388.35,36.0
83,APLLTD,1012.1,49.0
868,LTI,3052.0,16.0
403,ESCORTS,1188.35,42.0
18,ADANIENT,311.5,161.0
1044,NIITTECH,2456.65,20.0
983,MUTHOOTFIN,1192.85,42.0
481,GLENMARK,487.15,103.0
127,AUROPHARMA,782.2,64.0
342,DIVISLAB,3093.5,16.0
352,DRREDDY,5022.0,10.0
230,CADILAHC,425.65,117.0
3050,INFY,1129.05,44.0
271,CIPLA,757.5,66.0
1509,TATACONSUM,466.2,107.0
197,BIOCON,429.65,116.0
