Factor,Ticker,Close
0.143243981271178,HDFCBANK,1964.6
0.1599430397784037,IRCTC,725.0
0.1716631982015323,PIDILITIND,3087.2
0.17433520210485398,RELIANCE,1409.2
0.1768003464829505,MRF,147505.0
0.17706080564998541,ICICIBANK,1436.4
0.1785838432157896,NESTLEIND,1162.9
0.17910042692115827,COALINDIA,374.45
0.1792420490508587,ACC,1821.1
0.18103659673412617,SHREECEM,30005.0
0.1815905686029795,TCS,3054.0
0.18221602514575017,TATAPOWER,385.6
0.18353749923358295,ITC,398.3
0.18368981922181216,ULTRACEMCO,12589.0
0.18438073796571655,AIAENG,3107.7
0.18531611951378746,SUNPHARMA,1641.8
0.1886315915494943,DRREDDY,1277.6
0.189476066378322,LT,3595.8
0.1931779493277158,BHARTIARTL,1933.3
0.1937257036844569,HINDUNILVR,2629.9
0.19636400992468073,GRASIM,2813.8
0.19685803159815507,TITAN,3621.0
0.19711374696817888,POWERGRID,283.35
0.19745183134112995,AXISBANK,1070.9
0.19761940963438565,ASIANPAINT,2504.5
0.19798424852567295,DABUR,515.95
0.20003122984102245,JSWSTEEL,1054.6
0.2009534785067199,EICHERMOT,5924.5
0.20138307030331418,MARUTI,14349.0
0.2016987867728239,BRITANNIA,5545.5
0.2018594898276775,SBILIFE,1859.0
0.202173592373565,APOLLOHOSP,7922.5
0.20292436022883698,NTPC,337.0
0.20340751132614746,ICICIPRULI,626.05
0.20486579240567512,TATASTEEL,158.55
0.2062314394370465,SUNTV,573.1
0.2072817993236962,KOTAKBANK,1986.6
0.20761948706227965,HDFCLIFE,788.75
0.20956494324585637,LICHSGFIN,563.5
0.21099227440006826,HAVELLS,1556.0
0.21237563126262157,ONGC,236.29
0.21370964089225497,TORNTPHARM,3685.3
0.2141537527904914,UBL,1875.1
0.21419750244763644,TVSMOTOR,3294.6
0.2145189139996818,CIPLA,1592.8
0.21459835192713658,ICICIGI,1910.7
0.2153545633501333,TATACONSUM,1084.1
0.2172545333040467,BAJAJFINSV,1965.9
0.21800261973606427,ZYDUSLIFE,988.8
0.21864253821252935,SKFINDIA,4506.2
0.2219169417127069,HEROMOTOCO,4997.9
0.2224155412357663,APOLLOTYRE,465.75
0.22584867746569295,HDFCAMC,5828.0
0.2259630784374521,3MINDIA,30550.0
0.2260889236593257,LICI,889.1
0.2269959746594689,BALKRISIND,2396.1
0.22739508388057592,UNITDSPR,1329.9
0.22810162551577706,IOC,139.95
0.22818974665366534,PATANJALI,1801.2
0.22874722446217466,ALKEM,5426.0
0.22888967430435675,INFY,1487.5
0.228976748622616,KANSAINER,232.62
0.2295763029940191,COLPAL,2299.3
0.23074340539593832,BATAINDIA,1104.8
0.23110980310154652,AMBUJACEM,577.15
0.2313170771659231,BAJFINANCE,894.5
0.23152808819720155,HINDALCO,704.2
0.2321744378453743,EXIDEIND,396.05
0.23261171528556004,TATACOMM,1604.5
0.23286552774995067,TECHM,1505.0
0.23374543273393353,HONAUT,38090.0
0.2340503901517969,PAGEIND,45655.0
0.23455689402266855,ASTRAL,1425.1
0.2346968696502465,M&M,3403.0
0.2348374703998212,M&MFIN,263.0
0.235065088331285,MFSL,1638.7
0.23633978508218104,DALBHARAT,2326.4
0.237302453265218,WIPRO,248.64
0.23736677472352996,JINDALSTEL,997.25
0.23787392106087116,RAMCOCEM,1073.3
0.23824469614182148,ABBOTINDIA,31875.0
0.24162512432309546,BERGEPAINT,527.0
0.24210861291070687,VEDL,444.25
0.24315436290635137,BAJAJ-AUTO,8679.5
0.24449438701142304,AUROPHARMA,1050.4
0.24453329180470987,SUNDRMFAST,997.65
0.24467082028519632,HCLTECH,1466.3
0.24521155373915043,PIIND,3865.1
0.24550634413062822,GAIL,176.81
0.24610888103040446,BPCL,316.45
0.24695621864480602,DIVISLAB,6151.5
0.24762776606320885,SBIN,816.25
0.24835537531078405,ASHOKLEY,131.2
0.24893913199093246,NHPC,80.71
0.24932646386782456,INDIGO,6086.5
0.249647881723603,DLF,762.55
0.2511611847918993,TATAMOTORS,680.3
0.25118589194113294,JIOFIN,320.6
0.25136668420392044,INOXINDIA,1152.0
0.25159380503154444,MARICO,730.7
0.2526235241522226,CANFINHOME,769.75
0.25275268468154233,JKCEMENT,6841.0
0.2531168790470633,ADANIPORTS,1341.2
0.25337671470106254,NAUKRI,1380.6
0.2536286013534992,GODREJCP,1257.2
0.2546372256396201,UPL,716.45
0.2552912225205919,CROMPTON,316.7
0.255824783068265,ROUTE,880.3
0.2571443213413396,VGUARD,372.65
0.2579520309557629,TATACHEM,938.05
0.2591500303445101,LTIM,5224.5
0.2593898372018798,ESCORTS,3569.6
0.2597098433368203,LUPIN,1974.7
0.2601782289280578,FEDERALBNK,196.34
0.2604158911972777,SAIL,121.93
0.2606283406065575,LTTS,4274.2
0.26106008534963765,PNB,105.29
0.2613194309928305,STARHEALTH,444.55
0.2618301770041707,BSOFT,375.4
0.2620021156276459,JUBLFOOD,619.15
0.2624096681390531,BANKINDIA,115.46
0.2625240980800188,SYNGENE,667.4
0.2630472866628687,BEL,374.85
0.26346189433020967,TATATECH,683.6
0.263816005356411,BANKBARODA,240.23
0.2649024948653817,ARE&M,987.75
0.26612165748681843,MPHASIS,2848.6
0.2667443962545317,CUMMINSIND,3916.0
0.26676505956737084,INDHOTEL,788.85
0.26688013628961454,LALPATHLAB,3374.9
0.26853901160115784,PFC,399.85
0.26885098688369297,GUJGASLTD,432.05
0.27064637751689447,BOSCHLTD,39325.0
0.2711441605384978,BHARATFORG,1123.0
0.2724041524305227,METROPOLIS,2169.5
