Factor,Ticker,Close
1.2685788787483703,COALINDIA,522.0
1.1190561393235519,BAJAJ-AUTO,9770.65
0.9530761801965575,BPCL,343.8
0.9045725646123259,ONGC,335.3
0.8423217550274223,NTPC,403.1
0.8309480253954589,POWERGRID,340.3
0.7972441584608886,M&M,2765.15
0.7700494627323894,HEROMOTOCO,5188.9
0.7529411764705883,TATAMOTORS,1087.7
0.7438093573384608,ADANIPORTS,1496.45
0.6854750845805379,BHARTIARTL,1469.65
0.6685745286857452,SHRIRAMFIN,3075.6
0.6685745286857452,SHRIRAMFIN,2981.5
0.617523396175234,SHRIRAMFIN,3075.6
0.617523396175234,SHRIRAMFIN,2981.5
0.5366625637418673,SUNPHARMA,1747.8
0.466065865598576,HINDALCO,658.85
0.4368502543685025,GRASIM,2598.4
0.43016743177192435,EICHERMOT,4813.3
0.4233623065507738,HCLTECH,1678.5
0.3876252209781969,TATACONSUM,1177.4
0.3766804959059776,ULTRACEMCO,11315.35
0.3633442470071868,APOLLOHOSP,6724.9
0.3353554324349705,LT,3555.05
0.32688202646933245,INFY,1864.8
0.3199476724530742,TCS,4490.0
0.31702309666381523,TATASTEEL,153.96
0.3083234196168521,TECHM,1594.65
0.3073794532869266,SBILIFE,1671.55
0.28721871424333606,MARUTI,12149.8
0.2769492624412385,CIPLA,1575.5
0.27410135734260954,DIVISLAB,4669.9
0.2709234009533311,BRITANNIA,5732.5
0.25361794500723583,WIPRO,519.75
0.23105108877721947,ICICIBANK,1175.9
0.21063405416754144,AXISBANK,1153.25
0.18126984126984133,RELIANCE,2976.8
0.1753196325409604,ADANIENT,3102.55
0.16926499572819476,DRREDDY,6911.35
0.15476564957533814,JSWSTEEL,917.75
0.13601913371818614,NESTLEIND,2503.15
0.12557255628106412,TITAN,3464.85
0.11980794997766855,ITC,501.45
0.1026799156880458,LTIM,5676.1
0.09685675437894917,HDFCLIFE,685.7
0.07015900887718278,HINDUNILVR,2742.55
0.04924575525941957,BAJAJFINSV,1551.1
0.02645486001887383,HDFCBANK,1631.55
0.01192944584883688,KOTAKBANK,1781.35
-0.03330924174339314,ASIANPAINT,3076.3
-0.03591357848046934,INDUSINDBK,1347.6
-0.06127096279901244,BAJFINANCE,6616.35
