Manager ID,Manager Name
131,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED
132,Capgrow Capital Advisors LLP
133,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE
134,CARE PORTFOLIO MANAGERS PRIVATE LIMITED
135,CARE PORTFOLIO MANAGERS PVT. LTD
136,Carnelian Asset Advisors LLP
137,Catalytic Solution and Management Services Private Limited
138,CD CAPITAL MARKETS LTD
139,CD Research (P) Ltd
140,Ceat Financial Services Ltd.
141,CENTRAL FINANCE LTD
142,Centrum Alternatives LLP
143,CENTRUM BROKING LIMITED
144,CENTRUM BROKING PRIVATE LTD
145,Chanakya Capital Services Private Limited
146,Choice Portfolio Management Services Private Limited. 
147,CHOLAMANDALAM SECURITIES LIMITED
148,CHONA FINANCIAL SERVICES PRIVATE LTD.
149,CIFCO LTD
150,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LTD
151,Clarity Financial Services Ltd
152,CLUBMILLIONAIRE FINANCIAL SERVICES PRIVATE LIMITED
153,Coast Redwood Advisors Private Limited
154,COMPOSITE INVESTMENTS PRIVATE LIMITED
155,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP
156,CONCEPT INVESTWELL PRIVATE LIMITED  
157,CONCEPT SECURITIES PRIVATE LIMITED
158,CONSORTIUM SECURITIES PVT. LTD.
159,Continental Exim & Fin Ser Ltd
160,CONVEXITY SOLUTIONS AND ADVISORS PRIVATE LIMITED
161,Corestrat Heramb LLP
162,Corporation Bank
163,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED
164,CRB Capital Markets Ltd.
165,Credent Asset Management Services Private Limited
166,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")"
167,CRESCITA INVESTMENT MANAGEMENT PRIVATE LIMITED
168,CREST WEALTH MANAGEMENT PRIVATE LIMITED
169,Crest Wealth Management Private Limited
170,DAIWA PORTFOLIO ADVISORY (INDIA) PRIVATE LIMITED
171,DAIWA PORTFOLIO ADVISORY (INDIA) PRIVATE LIMITED
172,DALAL & BROACHA STOCK BROKING PVT. LTD.
173,Dalmia Securities pvt ltd
174,DARASHAW & COMPANY LTD
175,DAWNAY DAY AV FINANCIAL SERVICES PVT. LTD
176,DBS Cholamandalam Asset Management Ltd.
177,Decimal Wealth Partners Pvt Ltd
178,Derivium Tradition Securities (India) Pvt. Ltd.
179,Destimoney India Services Private Limited
180,Deutche Asset Management India Private Limited
181,DEUTSCHE BANK AG
182,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED
183,DGS CAPITAL MANAGEMENT PRIVATE LIMITED
184,DHANADA PORTFOLIO MANAGEMENT LTD
185,DHFL PRAMERICA ASSET MANAGERS PRIVATE LIMITED
186,Dil Vikas Finance Ltd.
187,DMZ Partners Investment Management LLP
188,DOHA BROKERAGE AND FINANCIAL SERVICES LTD
189,Doogar & Associates Ltd.
190,DSJ Finance Corp. Ltd.
191,DSP BlackRock Investment Managers Private Limited
192,DSP Merrill Lynch Limited
193,DSP MERRILL LYNCH LTD
194,Dugar Finance India Ltd.
195,DUNDEE INVESTMENT MANAGEMENT & RESEARCH
196,DUTT CAPITAL ADVISORS PRIVATE LIMITED
197,DYNAMIC EQUITIES PRIVATE LIMITED
198,East India Securities Ltd
