,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,BOSCHLTD,2013-10-01,2014-09-30,0.1,8883.6,14850.0,0.06716196136701337
1,HDFCBANK,2013-10-01,2014-09-30,0.1,299.4,432.1,0.044321977287909174
2,GRASIM,2013-10-01,2014-09-30,0.1,529.98,714.0,0.03472206498358428
3,TATACHEM,2013-10-01,2014-09-30,0.1,238.5,395.2,0.06570230607966457
4,RELIANCE,2013-10-01,2014-09-30,0.1,413.15,464.0,0.012307878494493532
5,ITC,2013-10-01,2014-09-30,0.1,226.9,242.9333333333333,0.0070662553254003104
6,LT,2013-10-01,2014-09-30,0.1,526.8666666666667,973.3666666666667,0.08474629887384538
7,KARURVYSYA,2013-10-01,2014-09-30,0.1,62.9,105.12,0.06712241653418125
8,ACC,2013-10-01,2014-09-30,0.1,1119.25,1437.0,0.028389546571364756
9,CYIENT,2013-10-01,2014-09-30,0.1,214.05,444.0,0.1074281709880869
10,HDFCBANK,2014-09-30,2015-09-29,0.1,432.1,516.0,0.019416801666280948
11,RELIANCE,2014-09-30,2015-09-29,0.1,464.0,415.0,-0.010560344827586207
12,GLAXO,2014-09-30,2015-09-29,0.1,1375.575,1662.5,0.020858550060883628
13,ICICIBANK,2014-09-30,2015-09-29,0.1,291.0,263.7,-0.009381443298969077
14,ITC,2014-09-30,2015-09-29,0.1,242.9333333333333,212.63333333333333,-0.012472557628979138
15,POWERGRID,2014-09-30,2015-09-29,0.1,104.4736842105263,94.62406015037593,-0.0094278517452321
16,AXISBANK,2014-09-30,2015-09-29,0.1,385.0,499.9,0.02984415584415584
17,BAJAJ-AUTO,2014-09-30,2015-09-29,0.1,2311.0,2258.0,-0.002293379489398529
18,UBL,2014-09-30,2015-09-29,0.1,709.4,837.95,0.018120947279391047
19,COLPAL,2014-09-30,2015-09-29,0.1,838.0,948.0,0.013126491646778043
20,HDFCBANK,2015-09-29,2016-09-27,0.1,516.0,649.5,0.025872093023255816
21,MARUTI,2015-09-29,2016-09-27,0.1,4509.95,5598.95,0.024146609164181425
22,GRASIM,2015-09-29,2016-09-27,0.1,682.0,979.78,0.04366275659824047
23,POWERGRID,2015-09-29,2016-09-27,0.1,94.62406015037593,132.81954887218046,0.04036551450139058
24,TCS,2015-09-29,2016-09-27,0.1,1291.675,1200.55,-0.0070547931948826146
25,KARURVYSYA,2015-09-29,2016-09-27,0.1,91.55,94.28,0.0029819770617149142
26,LT,2015-09-29,2016-09-27,0.1,946.6666666666666,980.0333333333333,0.003524647887323945
27,INDUSINDBK,2015-09-29,2016-09-27,0.1,912.8,1201.9,0.03167177914110431
28,L&TFH,2015-09-29,2016-09-27,0.1,65.0,92.3,0.042
29,RELIANCE,2015-09-29,2016-09-27,0.1,415.0,558.5,0.03457831325301205
30,VIDEOIND,2016-09-28,2017-09-27,0.1,104.4,16.9,-0.08381226053639847
31,HDFCBANK,2016-09-28,2017-09-27,0.1,649.95,898.0,0.038164474190322324
32,KOTAKBANK,2016-09-28,2017-09-27,0.1,783.0,997.5,0.027394636015325675
33,INDUSINDBK,2016-09-28,2017-09-27,0.1,1206.9,1699.0,0.04077388350318998
34,GLAXO,2016-09-28,2017-09-27,0.1,1411.45,1211.5,-0.014166282900563253
35,RELIANCE,2016-09-28,2017-09-27,0.1,553.95,825.6,0.04903872190630923
36,WIPRO,2016-09-28,2017-09-27,0.1,182.1052631578947,218.53383458646613,0.020004128819157717
37,ACC,2016-09-28,2017-09-27,0.1,1605.0,1644.0,0.002429906542056075
38,BAJAJ-AUTO,2016-09-28,2017-09-27,0.1,2879.0,3055.2,0.006120180618270227
39,HDFC,2016-09-28,2017-09-27,0.1,1418.1,1757.0,0.02389817361258022
40,HDFCBANK,2017-10-03,2018-10-01,0.1,904.0,1004.9,0.011161504424778758
41,GLAXO,2017-10-03,2018-10-01,0.1,1274.975,1460.9,0.01458263887527208
42,MARUTI,2017-10-03,2018-10-01,0.1,8055.35,7354.0,-0.008706635962434907
43,GSKCONS,2017-10-03,2018-10-01,0.1,5060.0,7248.0,0.043241106719367595
44,CRISIL,2017-10-03,2018-10-01,0.1,1828.0,1722.0,-0.0057986870897155365
45,BAJAJ-AUTO,2017-10-03,2018-10-01,0.1,3186.0,2687.0,-0.01566227244193346
46,LT,2017-10-03,2018-10-01,0.1,1155.55,1274.0,0.01025053005062525
47,KOTAKBANK,2017-10-03,2018-10-01,0.1,1006.1,1090.0,0.008339131299075637
48,M&M,2017-10-03,2018-10-01,0.1,632.5,860.5,0.03604743083003953
49,PGHH,2017-10-03,2018-10-01,0.1,8460.0,9550.0,0.012884160756501182
50,HDFCBANK,2018-10-03,2019-10-01,0.1,1015.225,1231.5,0.021303159398162966
51,NTPC,2018-10-03,2019-10-01,0.1,168.8,118.0,-0.03009478672985783
52,COLPAL,2018-10-03,2019-10-01,0.1,1093.15,1500.0,0.03721813108905456
53,MARUTI,2018-10-03,2019-10-01,0.1,7400.0,6720.0,-0.009189189189189189
54,LT,2018-10-03,2019-10-01,0.1,1247.1,1480.0,0.01867532675807875
55,ASIANPAINT,2018-10-03,2019-10-01,0.1,1264.9,1768.95,0.03984899992094237
56,BRITANNIA,2018-10-03,2019-10-01,0.1,2912.0,2952.0,0.0013736263736263737
57,MRF,2018-10-03,2019-10-01,0.1,63077.0,63299.0,0.0003519507903039143
58,INDUSINDBK,2018-10-03,2019-10-01,0.1,1639.8,1397.0,-0.014806683741919745
59,HDFCBANK,2019-10-01,2020-09-29,0.1,1231.5,1058.0,-0.01408850994721884
60,HINDUNILVR,2019-10-01,2020-09-29,0.1,1989.0,2065.0,0.0038210155857214684
61,KOTAKBANK,2019-10-01,2020-09-29,0.1,1638.8,1286.8,-0.021479131071515747
62,LT,2019-10-01,2020-09-29,0.1,1480.0,909.95,-0.03851689189189189
63,MARICO,2019-10-01,2020-09-29,0.1,394.0,362.0,-0.008121827411167513
64,ITC,2019-10-01,2020-09-29,0.1,259.1,174.75,-0.03255499807024315
65,ASIANPAINT,2019-10-01,2020-09-29,0.1,1768.95,1960.0,0.010800192204415046
66,HDFC,2019-10-01,2020-09-29,0.1,1988.0,1692.0,-0.01488933601609658
67,SANOFI,2019-10-01,2020-09-29,0.1,5878.0,8576.0,0.04589996597482137
68,DABUR,2019-10-01,2020-09-29,0.1,446.0,503.05,0.012791479820627807
69,MRF,2020-09-29,2021-09-28,0.1,59778.8,81759.4,0.03676989166728002
70,HDFCBANK,2020-09-29,2021-09-28,0.1,1058.0,1632.0,0.05425330812854443
71,SCHAEFFLER,2020-09-29,2021-09-28,0.1,3620.0,7369.0,0.10356353591160222
72,PGHH,2020-09-29,2021-09-28,0.1,9907.8,13723.3,0.03851006277882073
73,DABUR,2020-09-29,2021-09-28,0.1,503.05,634.0,0.026031209621310007
74,ULTRACEMCO,2020-09-29,2021-09-28,0.1,3960.0,7629.9,0.09267424242424242
75,SIEMENS,2020-09-29,2021-09-28,0.1,1250.0,2093.0,0.06744000000000001
76,BATAINDIA,2020-09-29,2021-09-28,0.1,1345.0,1794.4,0.03341263940520447
77,LT,2020-09-29,2021-09-28,0.1,909.95,1745.3,0.09180174734875542
78,MARICO,2020-09-29,2021-09-28,0.1,362.0,550.35,0.0520303867403315
