,Index,Factors,Annualized Return,Annualized Vol,Sharpe Ratio,Max Drawdown
0,2704,['Z-opoa'],0.08938236256088561,0.1663785574764177,0.13916549970856862,-0.29025031734150714
1,3385,['Z-opoa'],0.05991119214667728,0.1758925664401636,-0.025930285073750153,-0.33501631905950047
2,3386,['Z-opoa'],0.007674044545354697,0.1833124986047808,-0.2928331767803075,-0.4569084734903154
3,2704,['Z-roe'],0.04167077496239391,0.2016472111729127,-0.10770167044871976,-0.3524315698745722
4,3385,['Z-roe'],0.05535539817539181,0.2037782886068651,-0.0434370623483924,-0.3947569652039982
5,3386,['Z-roe'],0.046169079322177176,0.20445756740001134,-0.08554053750490274,-0.4497185863705309
6,2704,['Z-cfoa'],0.07286541831034321,0.21288910674005015,0.03574896223801968,-0.44621585592958724
7,3385,['Z-cfoa'],0.08931588699939819,0.1880347381270885,0.12277450449578081,-0.36597096797743806
8,3386,['Z-cfoa'],0.0496160526390943,0.20075411214513278,-0.07097001097510271,-0.46703382034094953
9,2704,['Z-delta_opoa'],0.033406072872832704,0.2087243275432318,-0.1412917595177296,-0.3043660952387932
10,3385,['Z-delta_opoa'],0.015567705992968195,0.20753622264857904,-0.22291898816323888,-0.3855879540659441
11,3386,['Z-delta_opoa'],0.022088093070078862,0.21603991964958907,-0.18577645256046432,-0.4930828602819934
12,2704,['Z-delta_roe'],0.0008320210047068066,0.26044042634835335,-0.23089039856878177,-0.40462615681113207
13,3385,['Z-delta_roe'],0.026527119161587454,0.2320841493486664,-0.15496930214717167,-0.4514783244174939
14,3386,['Z-delta_roe'],0.02155877437977849,0.2354889033775451,-0.17257046896103026,-0.5375481749456541
15,2704,['Z-delta_cfoa'],0.018162269984446144,0.24424482334363817,-0.17947235312894422,-0.43723020581041516
16,3385,['Z-delta_cfoa'],0.07577876525288918,0.21547072624854538,0.04803257982676259,-0.44042675207808774
17,3386,['Z-delta_cfoa'],0.06038407648801547,0.24059089151331148,-0.017182157314971778,-0.5209715116108329
18,2704,['Z-dividend_payout'],0.01249880540128645,0.19647349476917808,-0.25014107332469343,-0.33676169449423626
19,3385,['Z-dividend_payout'],0.008437395540133563,0.18942064963468624,-0.27960826921793763,-0.42893158041034773
20,3386,['Z-dividend_payout'],0.04103661769108413,0.18754547294099638,-0.1189635808225295,-0.39411523910817753
21,2704,['Z-debt_issuance'],-0.01665648456090907,0.3099772623683117,-0.24708913794457255,-0.5409655752157296
22,3385,['Z-debt_issuance'],-0.0421724065453436,0.2885420782463945,-0.3485625372997047,-0.6507625711999365
23,3386,['Z-debt_issuance'],-0.023484226647881856,0.27438483778203115,-0.302496128047439,-0.6411982705940057
24,2704,['Z-equity_debt_ratio'],0.08567828357357055,0.19164064971534212,0.1026172529734116,-0.29865955723608345
25,3385,['Z-equity_debt_ratio'],0.047897089596290465,0.17185496819960142,-0.0922687700887789,-0.2600307543360943
26,3386,['Z-equity_debt_ratio'],0.03262559000814691,0.1963897647959639,-0.1538892331230554,-0.41699295104654827
27,2704,['Z-coverage_ratio'],0.05216840213208496,0.19023511530950196,-0.062260025687047006,-0.33881452889082514
28,3385,['Z-coverage_ratio'],0.055167455735973814,0.17106137291274265,-0.05273157207314922,-0.28114714051463685
29,3386,['Z-coverage_ratio'],0.025010686012657102,0.1932263705910625,-0.1934600788216536,-0.4522490310062877
30,2704,"['Z-opoa', 'Z-roe']",0.07786808596903616,0.17989851281803995,0.06850415489244353,-0.29848619474818744
31,3385,"['Z-opoa', 'Z-roe']",0.07395296336757262,0.17572492898516748,0.049184224430484695,-0.30221598548833123
32,3386,"['Z-opoa', 'Z-roe']",0.04983774036890454,0.18539222939859268,-0.07570465440713928,-0.4194543367220352
33,2704,"['Z-opoa', 'Z-cfoa']",0.03734786161781933,0.17825287180416122,-0.1446122177336703,-0.3594324400935717
34,3385,"['Z-opoa', 'Z-cfoa']",0.06352272227191968,0.1771868743670288,-0.0065768847531920815,-0.31318988315056256
35,3386,"['Z-opoa', 'Z-cfoa']",0.020580142192596407,0.18745084851902405,-0.221637791728134,-0.46812782132018005
36,2704,"['Z-opoa', 'Z-delta_opoa']",0.07214195391589096,0.1935398518768553,0.035835925166554795,-0.35440019745419316
37,3385,"['Z-opoa', 'Z-delta_opoa']",0.05302318163956721,0.18926397980326828,-0.058336624458461626,-0.35060406946126826
38,3386,"['Z-opoa', 'Z-delta_opoa']",0.03159715935793628,0.19510960066501204,-0.15985347063120925,-0.4587841708833967
39,2704,"['Z-opoa', 'Z-delta_roe']",0.01653100423533238,0.20142243489133344,-0.2251811157951278,-0.3079427004490648
40,3385,"['Z-opoa', 'Z-delta_roe']",0.04670677488539576,0.19755290633111908,-0.08596283973251202,-0.3322570039933479
41,3386,"['Z-opoa', 'Z-delta_roe']",0.059300499195697354,0.2086779506560253,-0.02464638686912405,-0.4204397056324365
42,2704,"['Z-opoa', 'Z-delta_cfoa']",0.08609732723495411,0.18220272046307373,0.11010604835822733,-0.24055754963943593
43,3385,"['Z-opoa', 'Z-delta_cfoa']",0.06186477774270549,0.185385569527455,-0.014704428732687583,-0.3161210106545657
44,3386,"['Z-opoa', 'Z-delta_cfoa']",0.05175256364111802,0.20304677037543525,-0.06027620881944329,-0.42851533906117034
45,2704,"['Z-opoa', 'Z-dividend_payout']",0.0758940733375233,0.16602512656019794,0.06306686074399707,-0.25822429984627115
46,3385,"['Z-opoa', 'Z-dividend_payout']",0.060015469522230136,0.16511758531603393,-0.02701432986424477,-0.31685554866598153
