,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
1,0.23157894736842102,30.35,32.85,0.019075695829359227,274,364
3,0.16842105263157892,3087.65,3650.0,0.030674324793084837,274,364
1,0.23157894736842102,32.85,30.6,-0.015861571737563085,364,451
3,0.16842105263157892,3650.0,3679.95,0.0013819754866618514,364,451
1,0.23157894736842102,30.75,35.2,0.0335130509199829,455,542
2,0.19999999999999998,7.35,11.25,0.10612244897959185,455,542
3,0.16842105263157892,3698.95,4432.05,0.033379600612122515,455,542
1,0.23157894736842102,36.85,31.0,-0.036763550667714064,546,633
3,0.16842105263157892,4549.9,6498.95,0.07214687193819182,546,633
1,0.23157894736842102,30.55,30.4,-0.0011370488414161586,637,725
2,0.19999999999999998,8.05,8.35,0.007453416149068295,637,725
3,0.16842105263157892,6375.0,6311.15,-0.0016868524251806077,637,725
1,0.23157894736842102,30.35,34.0,0.02785051591086446,728,815
2,0.19999999999999998,10.25,6.0,-0.08292682926829269,728,815
3,0.16842105263157892,6204.7,7898.95,0.04598890654198472,728,815
1,0.23157894736842102,34.25,32.25,-0.013522858240491738,819,906
2,0.19999999999999998,5.85,6.65,0.027350427350427375,819,906
3,0.16842105263157892,7800.0,8335.05,0.011553036437246946,819,906
1,0.23157894736842102,31.6,25.5,-0.0447035309793471,910,997
2,0.19999999999999998,5.5,3.05,-0.0890909090909091,910,997
3,0.16842105263157892,8299.95,10865.0,0.052049520907069484,910,997
1,0.23157894736842102,25.4,31.9,0.05926232905097389,1002,1092
2,0.19999999999999998,3.0,5.0,0.13333333333333333,1002,1092
3,0.16842105263157892,10670.0,10616.05,-0.000851575987766992,1002,1092
1,0.23157894736842102,33.5,27.55,-0.04113118617439119,1093,1183
2,0.19999999999999998,5.0,4.4,-0.023999999999999983,1093,1183
3,0.16842105263157892,10595.05,10879.95,0.004528827886110691,1093,1183
1,0.23157894736842102,27.55,28.55,0.008405769414461743,1184,1274
2,0.19999999999999998,4.2,4.9,0.03333333333333333,1184,1274
3,0.16842105263157892,10850.0,12195.0,0.020878001455251028,1184,1274
1,0.23157894736842102,28.55,36.7,0.06610747534334963,1274,1361
2,0.19999999999999998,4.9,5.95,0.042857142857142844,1274,1361
3,0.16842105263157892,12195.0,13230.05,0.014294728210439986,1274,1361
1,0.23157894736842102,38.85,34.5,-0.025929689087583828,1365,1452
2,0.19999999999999998,5.75,5.6,-0.005217391304347838,1365,1452
3,0.16842105263157892,13025.85,10371.6,-0.034318802914770886,1365,1452
1,0.23157894736842102,33.4,34.6,0.008320201701859457,1456,1543
2,0.19999999999999998,5.4,4.8,-0.022222222222222237,1456,1543
3,0.16842105263157892,10460.0,11110.95,0.010481231760088567,1456,1543
1,0.23157894736842102,35.6,39.1,0.02276759314015375,1547,1634
2,0.19999999999999998,4.8,4.35,-0.018750000000000006,1547,1634
3,0.16842105263157892,11015.5,13999.9,0.045629866049991745,1547,1634
1,0.23157894736842102,39.5,42.4,0.017001998667554953,1639,1725
2,0.19999999999999998,4.2,4.0,-0.009523809523809532,1639,1725
3,0.16842105263157892,13811.2,14749.95,0.011447612311594553,1639,1725
1,0.23157894736842102,40.35,59.3,0.10875888606274045,1729,1816
2,0.19999999999999998,3.95,4.4,0.022784810126582282,1729,1816
3,0.16842105263157892,14400.05,16399.0,0.02337945098509344,1729,1816
1,0.23157894736842102,59.55,48.25,-0.04394361217906225,1821,1907
2,0.19999999999999998,5.3,5.05,-0.009433962264150943,1821,1907
3,0.16842105263157892,17192.0,19604.25,0.023631554456173,1821,1907
1,0.23157894736842102,50.6,38.85,-0.053775743707093815,1912,2002
2,0.19999999999999998,5.1,4.15,-0.037254901960784285,1912,2002
3,0.16842105263157892,19397.6,20026.05,0.005456562179151849,1912,2002
1,0.23157894736842102,38.85,49.3,0.06229086229086225,2002,2090
2,0.19999999999999998,4.15,3.85,-0.014457831325301214,2002,2090
3,0.16842105263157892,20026.05,24699.5,0.039304174733462295,2002,2090
1,0.23157894736842102,44.0,42.4,-0.008421052631578954,2094,2184
2,0.19999999999999998,3.7,3.6,-0.00540540540540541,2094,2184
3,0.16842105263157892,23700.0,22060.0,-0.01165445258716411,2094,2184
1,0.23157894736842102,42.4,39.1,-0.018023833167825205,2184,2272
2,0.19999999999999998,3.6,3.8,0.011111111111111096,2184,2272
3,0.16842105263157892,22060.0,23440.15,0.010537004342224564,2184,2272
1,0.23157894736842102,37.2,34.25,-0.018364459535936628,2275,2362
2,0.19999999999999998,3.9,3.3,-0.03076923076923077,2275,2362
3,0.16842105263157892,23487.0,22042.6,-0.010357532610425036,2275,2362
1,0.23157894736842102,35.2,35.8,0.0039473684210525935,2366,2453
2,0.19999999999999998,3.25,2.45,-0.04923076923076922,2366,2453
3,0.16842105263157892,23700.0,19170.3,-0.03218974017321785,2366,2453
1,0.23157894736842102,38.0,32.0,-0.036565096952908584,2457,2544
2,0.19999999999999998,2.1,2.05,-0.004761904761904787,2457,2544
3,0.16842105263157892,20600.0,20878.05,0.0022732754215636112,2457,2544
1,0.23157894736842102,32.95,22.95,-0.07028192636370897,2548,2635
2,0.19999999999999998,2.0,1.5,-0.049999999999999996,2548,2635
3,0.16842105263157892,21489.9,17000.0,-0.03518832959718409,2548,2635
1,0.23157894736842102,21.8,31.45,0.10251086431675517,2639,2726
2,0.19999999999999998,1.3,2.65,0.20769230769230765,2639,2726
3,0.16842105263157892,16300.0,18629.6,0.02407077817242491,2639,2726
1,0.23157894736842102,32.2,29.75,-0.017620137299771185,2730,2817
2,0.19999999999999998,2.65,3.6,0.07169811320754718,2730,2817
3,0.16842105263157892,18565.0,19350.0,0.007121493472436814,2730,2817
