,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,RCOM,2013-07-02,2013-09-30,0.13698630136986298,132.8,149.6,0.0173295923419706
1,GSKCONS,2013-07-02,2013-09-30,0.1287671232876712,5410.0,4317.65,-0.025999772111513435
2,IDEA,2013-07-02,2013-09-30,0.12054794520547944,143.65,170.7,0.02269976970280694
3,BRITANNIA,2013-07-02,2013-09-30,0.11232876712328767,345.0,388.85,0.014277149096684542
4,SUNPHARMA,2013-07-02,2013-09-30,0.10410958904109589,504.0,592.0,0.018177864753207217
5,APOLLOHOSP,2013-07-02,2013-09-30,0.09589041095890412,1016.0,941.0,-0.007078524431021465
6,LUPIN,2013-07-02,2013-09-30,0.08767123287671234,776.5,855.0,0.008863093085411358
7,IPCALAB,2013-07-02,2013-09-30,0.07945205479452057,661.55,690.1,0.00342885067550989
8,UNITDSPR,2013-07-02,2013-09-30,0.0712328767123288,494.0,521.8,0.004008651766402302
9,OIL,2013-07-02,2013-09-30,0.06301369863013702,291.7042606516291,225.41353383458645,-0.014320064685687132
10,BRITANNIA,2013-10-01,2013-12-30,0.13698630136986298,415.65,460.5,0.014781271782601607
11,IDEA,2013-10-01,2013-12-30,0.1287671232876712,169.0,170.5,0.0011429034611331764
12,SUNPHARMA,2013-10-01,2013-12-30,0.12054794520547944,594.7,576.0,-0.003790560913641283
13,EICHERMOT,2013-10-01,2013-12-30,0.11232876712328767,3550.0,5000.0,0.04588076403627243
14,HCLTECH,2013-10-01,2013-12-30,0.10410958904109589,542.75,629.5,0.016640270565297224
15,IPCALAB,2013-10-01,2013-12-30,0.09589041095890412,719.0,720.0,0.00013336635738373312
16,RALLIS,2013-10-01,2013-12-30,0.08767123287671234,150.0,176.0,0.015196347031963472
17,LUPIN,2013-10-01,2013-12-30,0.07945205479452057,860.0,910.85,0.004697833705001596
18,MINDTREE,2013-10-01,2013-12-30,0.0712328767123288,304.775,390.0,0.019919028522051425
19,UNITDSPR,2013-10-01,2013-12-30,0.06301369863013702,507.16999999999996,510.62,0.0004286477123528119
20,AUROPHARMA,2013-12-31,2014-03-31,0.13698630136986298,197.925,257.0,0.040886526479346486
21,CYIENT,2013-12-31,2014-03-31,0.1287671232876712,341.75,321.75,-0.007535749716908337
22,MINDTREE,2013-12-31,2014-03-31,0.12054794520547944,385.25,342.75,-0.013298605246548672
23,TECHM,2013-12-31,2014-03-31,0.11232876712328767,371.6,363.45,-0.002463615317693214
24,TATACOMM,2013-12-31,2014-03-31,0.10410958904109589,199.20000000000002,202.0,0.001463387797766399
25,HCLTECH,2013-12-31,2014-03-31,0.09589041095890412,625.9,702.5,0.011735429748285762
26,WIPRO,2013-12-31,2014-03-31,0.08767123287671234,208.64661654135338,207.51879699248119,-0.0004738985560903436
27,TATASTEEL,2013-12-31,2014-03-31,0.07945205479452057,426.45,384.65,-0.007787773221739854
28,GESHIP,2013-12-31,2014-03-31,0.0712328767123288,319.2,338.0,0.0041954200569917985
29,MRF,2013-12-31,2014-03-31,0.06301369863013702,19347.0,21685.0,0.007614928795020435
30,AUROPHARMA,2014-04-01,2014-06-30,0.13698630136986298,254.5,372.4,0.0634604515972764
31,NAUKRI,2014-04-01,2014-06-30,0.1287671232876712,613.15,684.0,0.01487914977563648
32,JUSTDIAL,2014-04-01,2014-06-30,0.12054794520547944,1555.0,1480.0,-0.005814209575826982
33,AIAENG,2014-04-01,2014-06-30,0.11232876712328767,560.65,797.0,0.047353793114401216
34,BHARATFORG,2014-04-01,2014-06-30,0.10410958904109589,214.275,307.5,0.045295141469402236
35,EICHERMOT,2014-04-01,2014-06-30,0.09589041095890412,5965.0,7849.65,0.03029670796541469
36,PERSISTENT,2014-04-01,2014-06-30,0.08767123287671234,522.525,555.0,0.005448779077883805
